2025-06-07 22:01:01 +0200,85f7e55,Remove terminal support and implement auto closing,2mawi2
2025-06-07 22:19:36 +0200,7239d18,remove duplication,2mawi2
2025-06-07 22:20:41 +0200,38fac09,include lintint in just test,2mawi2
2025-06-07 22:36:36 +0200,b41291a,Merge branch 'para/crisp_jade_20250607-221446',2mawi2
2025-06-07 22:44:56 +0200,6a95265,allow -d to skip permissions,2mawi2
2025-06-07 22:46:44 +0200,c801c5e,add more tests,2mawi2
2025-06-07 22:46:58 +0200,00f3481,Merge branch 'para/swift_blaze_20250607-224038',2mawi2
2025-06-07 23:04:58 +0200,0577095,implement integrate,2mawi2
2025-06-07 23:08:18 +0200,5a43d6f,fix lint issues,2mawi2
2025-06-07 23:49:25 +0200,eec1a13,add unit tests,2mawi2
2025-06-07 23:49:26 +0200,c9a7ce2,Merge: add unit tests,2mawi2
2025-06-08 00:12:12 +0200,8e8800a,make rebase the default integration,2mawi2
2025-06-08 01:39:43 +0200,7f101bf,add backup functionality with tests and documentation,2mawi2
2025-06-08 01:42:09 +0200,cb991a1,Merge: read backup system,2mawi2
2025-06-08 10:10:21 +0200,5decf48,add para chancel rule,2mawi2
2025-06-08 10:40:54 +0200,2347db0,add claude permissions,2mawi2
2025-06-08 10:55:40 +0200,1f3a287,add integrate shortcut,2mawi2
2025-06-08 11:03:37 +0200,38c591f,update justfile to check for staged changes instead of a clean working directory before pulling latest changes,2mawi2
2025-06-08 17:45:15 +0200,2d2bb01,fix repository integrity check,2mawi2
2025-06-08 17:59:54 +0200,1d9977b,add workflow documentation with mermaid diagrams,2mawi2
2025-06-08 18:11:41 +0200,1c64f20,fix dispatch URL detection in prompts,2mawi2
2025-06-08 18:43:50 +0200,f75887d,break down completion script generation into shell-specific helpers,2mawi2
2025-06-08 18:44:45 +0200,e4a373d,extract common argument parsing logic into helper function,2mawi2
2025-06-08 18:45:52 +0200,c718bef,extract git operation helpers for consistency and error handling,2mawi2
2025-06-08 18:46:01 +0200,0cd14c0,deduplicate session state operations,2mawi2
2025-06-08 18:52:19 +0200,1ff43db,standardize error handling patterns with consistent error codes,2mawi2
2025-06-08 18:59:20 +0200,f72bc31,merge task 1: extract argument parsing logic,2mawi2
2025-06-08 18:59:26 +0200,30ccea9,merge task 2: deduplicate session state operations,2mawi2
2025-06-08 18:59:27 +0200,2e167e7,merge task 3: extract git operation helpers,2mawi2
2025-06-08 19:11:24 +0200,fd9752c,resolve merge conflicts from task integration,2mawi2
2025-06-08 19:13:03 +0200,1f4db78,merge task 5: break down completion generation,2mawi2
2025-06-08 21:54:29 +0200,cbd7644,remove untracked containers,2mawi2
